_id,id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
55,572751690,Loretta Miller,False,McKinley Park,Diamond Only,0,Skinned,195,175,140,NA,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41364272,-79.99746158
56,467296944,Magee Field 1,True,Magee Park,Diamond Only,0,Skinned,328,340,215,NA,Greenfield,5,15,42003151700,3,15,4,2-15,40.42580297,-79.9376634
57,1099665010,Magee Field 2,True,Magee Park,Diamond Only,0,Skinned,297,340,285,NA,Greenfield,5,15,42003151700,3,15,4,2-15,40.42530843,-79.93748538
58,1554244676,Manchester,True,Manchester School Park,Diamond Only,0,Skinned,320,370,278,NA,Manchester,6,21,42003210700,1,21,1,1-8,40.45676266,-80.02481197
59,1719658442,Marmaduke,False,Marmaduke Park,Diamond Only,0,Grass,200,150,150,NA,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48516535,-80.04368783
60,315057042,Martin Luther King,False,Allegheny Commons,Diamond Only,0,Skinned,200,200,200,NA,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45509104,-80.00361787
61,230955707,Mazeroski,False,Schenley Park,Diamond Only,0,Skinned,183,185,185,NA,Central Oakland,3,4,42003040500,3,4,4,2-11,40.44141704,-79.95211788
62,143191788,Mcbride,False,McBride Park,Diamond Only,0,Grass with Skinned Baselines,269,291,196,NA,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36929033,-79.90756773
63,40063038,McGonigle,False,McGonigle Park,Diamond Only,0,Skinned,185,197,190,NA,Sheraden,2,20,42003562500,5,20,6,1-16,40.46010234,-80.06576612
64,629665982,McKinley Field 1,True,McKinley Park,Diamond and Rectangular,1,Skinned,385,285,190,NA,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41234291,-79.99932396
67,1397213066,Mellon Field  3,False,Mellon Park,Diamond Only,0,Skinned,192,200,189,NA,Shadyside,8,7,42003070800,2,7,4,3-13,40.45453692,-79.91614241
69,56124231,Michael Flynn,False,Spring Garden Park,Diamond Only,0,Skinned,175,170,155,NA,Spring Garden,1,24,42003241200,1,24,1,1-24,40.46585808,-79.98577295
70,704054857,Middle,False,Arsenal Park,Diamond Only,0,Skinned,200,200,200,NA,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46715649,-79.96169906
76,309619084,Officer Paul J. Sciullo II Memorial Field,True,Paul J. Sciullo II Memorial Park,Diamond Only,0,Skinned,311,260,241,NA,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46237693,-79.95468895
85,1632748081,Ray Miller,False,Blair Street Park,Diamond Only,0,Grass,197,200,165,NA,Hazelwood,5,15,42003562900,3,15,4,2-13,40.40382385,-79.94566111
29,1661652882,Farmhouse,False,Highland Park,Diamond Only,0,Skinned,180,180,180,NA,Highland Park,7,11,42003980100,2,11,5,3-9,40.47647804,-79.9132423
65,493670492,McKnight,False,McKnight Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Manchester,6,21,42003210700,1,21,1,1-8,40.45193965,-80.02340271
66,1330092478,Mellon Field  1,True,Mellon Park,Diamond Only,0,Skinned,367,366,360,NA,Shadyside,8,7,42003070800,2,7,4,3-13,40.45427335,-79.91676889
68,130126849,Mellon Field 2,False,Mellon Park,Diamond Only,0,Skinned,178,198,179,NA,Shadyside,8,7,42003070800,2,7,4,3-13,40.45514826,-79.91536672
71,2123090156,Monongahela,False,Monongahela Park,Diamond Only,0,Grass,270,200,165,NA,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42213005,-79.96639994
72,566274459,Moore Field 1,True,Moore Park,Diamond and Rectangular,2,Skinned,300,410,312,NA,Brookline,4,19,42003191700,5,19,6,4-26,40.40486291,-80.01258329
77,1301756446,Officer Stephen J. Mayhle Memorial Park,False,Brookline Memorial Park,Diamond Only,0,Skinned,130,130,130,NA,Brookline,4,32,42003320600,5,32,6,4-25,40.39046411,-80.00695142
86,1340126918,Richie McCabe,False,Allegheny Commons,Diamond and Rectangular,2,Skinned,280,320,290,NA,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45437202,-80.00717219
92,2008449223,Schenley Field  3,False,Schenley Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43360798,-79.94095189
49,616956001,John McGrane Field 1,True,Leslie Park,Diamond and Rectangular,0,Skinned,150,210,154,NA,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47288664,-79.95694904
73,842334084,Moore Field 2,False,Moore Park,Diamond Only,0,Skinned,190,275,200,NA,Brookline,4,19,42003191700,5,19,6,4-26,40.40496131,-80.01388915
74,1452559467,Oakwood,False,Oakwood Park,Diamond Only,0,Skinned,180,180,180,NA,Oakwood,2,28,42003562800,5,28,6,1-19,40.42554811,-80.06583265
75,2076919976,Officer Eric G. Kelly Memorial Field,False,Dinan Park,Diamond Only,0,Skinned,312,320,312,NA,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48368418,-79.93350329
78,1143237221,Olympia,True,Emerald View Park - Olympia Park,Diamond Only,0,Skinned,300,395,365,NA,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43059751,-80.01854491
79,1785007482,Ormsby,False,Ormsby Park,Diamond Only,0,Skinned,155,185,160,NA,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42986593,-79.97407431
84,1346212440,Quarry,True,Southside Park,Rectangular Only,2,N/A,N/A,N/A,N/A,NA,South Side Slopes,3,17,42003170600,3,17,3,4-22,40.42033585,-79.9804197
80,1242321225,Oval,True,Schenley Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43250524,-79.94340916
81,362031557,Panther Hollow,False,Schenley Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,South Oakland,3,4,42003040900,3,4,4,2-12,40.43101462,-79.95033969
82,1776153766,Paulson,True,Paulson Park,Diamond Only,0,Skinned,250,255,280,NA,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46854463,-79.90025096
83,53964999,Phillips,True,Phillips Park,Rectangular Only,2,N/A,N/A,N/A,N/A,NA,Carrick,4,29,42003290400,3,29,3,4-23,40.39279236,-79.99182757
87,1016428151,Riverview,True,Riverview Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Perry North,1,26,42003980400,1,26,1,1-15,40.48910488,-80.02118742
